Bahamas	BHS	2011	34468.887	377956	33.60233	72.6	
Bahamas	BHS	2012	35150.562	382073	28.791214	72.8	
Bahamas	BHS	2013	33826.34	385660	30.856995	73	
Bahamas	BHS	2014	34143.03	389137	31.35191	73.4	
Bahamas	BHS	2015	34170.23	392707	37.178745	73.1	
Bahamas	BHS	2016	33596.637	395986	28.031967	73.5	
Bahamas	BHS	2017	34357.27	399027	30.57491	73.6	
Bahamas	BHS	2018	34735.125	401911	22.642082	73.8	
Bahamas	BHS	2019	35161.832	404563	23.482475	71.2	
Bahamas	BHS	2020	26659.238	406478	17.959438	72.7	
Bahamas	BHS	2021	30210.162	407920	29.173424	71.6	
